id,title,skills_required,sector,location,eligibility
41,Content Intern,"recruitment, onboarding, communication",IT/AI,Jaipur,"BDes, BA"
42,Design Intern,"communication, social media, seo",Design,Ahmedabad,"MBA, BBA"
43,Business Analyst Intern,"aws, devops, linux",Consulting,Bangalore,Any Graduate
44,Data Science Intern,"recruitment, onboarding, communication",Cloud,Hyderabad,"MBA, BBA"
45,Graphic Intern,"recruitment, onboarding, communication",Marketing,Kolkata,"BCom, MBA"
46,Marketing Intern,"communication, social media, seo",Content,Kolkata,"MBA, PGDM"
47,Business Analyst Intern,"photoshop, branding, graphics",Marketing,Ahmedabad,"BCom, MBA"
48,Web Dev Intern,"photoshop, branding, graphics",IT/AI,Bangalore,"BCA, B.Tech"
49,Content Intern,"communication, social media, seo",Software Dev,Noida,"B.Tech, M.Tech"
50,Design Intern,"html, css, javascript, react",Content,Hyderabad,"MBA, BBA"
51,HR Intern,"communication, social media, seo",Content,Noida,"MBA, BBA"
52,Web Dev Intern,"photoshop, branding, graphics",IT/AI,Noida,"B.Tech, M.Tech"
53,Business Analyst Intern,"recruitment, onboarding, communication",Consulting,Noida,"BSc, MSc"
54,Data Science Intern,"illustrator, photoshop, creativity",Software Dev,Kolkata,"BA, MA"
55,Marketing Intern,"html, css, javascript, react",Content,Chennai,"MBA, PGDM"
56,Web Dev Intern,"photoshop, branding, graphics",Software Dev,Noida,"MBA, PGDM"
57,Content Intern,"content, copywriting, research",Consulting,Noida,"BA, MA"
58,Marketing Intern,"content, copywriting, research",Finance,Kolkata,"B.Tech, BSc IT"
59,Data Science Intern,"excel, accounting, analytics",Cloud,Pune,Any Graduate
60,Business Analyst Intern,"html, css, javascript, react",Design,Delhi,"BA, MA"
61,Data Science Intern,"photoshop, branding, graphics",Finance,Noida,"B.Tech, BSc IT"
62,Business Analyst Intern,"illustrator, photoshop, creativity",HR,Noida,"BCom, MBA"
63,Business Analyst Intern,"html, css, javascript, react",HR,Jaipur,"BA, MA"
64,Data Science Intern,"sql, analytics, consulting",Design,Pune,"BCA, B.Tech"
65,Finance Intern,"illustrator, photoshop, creativity",Media,Ahmedabad,"BDes, BA"
66,Content Intern,"recruitment, onboarding, communication",Software Dev,Mumbai,"BA, MA"
67,Marketing Intern,"sql, analytics, consulting",Consulting,Pune,"BSc, MSc"
68,Finance Intern,"illustrator, photoshop, creativity",Media,Mumbai,"BSc, MSc"
69,Web Dev Intern,"sql, analytics, consulting",Finance,Noida,"BDes, BA"
70,Data Science Intern,"aws, devops, linux",Design,Delhi,"BCA, B.Tech"
71,Design Intern,"photoshop, branding, graphics",Finance,Ahmedabad,"BA, MA"
72,Marketing Intern,"content, copywriting, research",Consulting,Mumbai,"BCA, B.Tech"
73,Content Intern,"python, machine learning, statistics",Finance,Pune,"BSc, MSc"
74,Business Analyst Intern,"content, copywriting, research",Content,Delhi,"BA, MA"
75,Business Analyst Intern,"excel, accounting, analytics",Software Dev,Chennai,Any Graduate
76,Marketing Intern,"excel, accounting, analytics",Cloud,Mumbai,"B.Tech, BSc IT"
77,Marketing Intern,"html, css, javascript, react",Media,Chennai,"MBA, PGDM"
78,Graphic Intern,"illustrator, photoshop, creativity",Marketing,Mumbai,"B.Tech, M.Tech"
79,Data Science Intern,"illustrator, photoshop, creativity",IT/AI,Chennai,"BDes, BA"
80,Content Intern,"aws, devops, linux",Consulting,Mumbai,"MBA, PGDM"
81,Cloud Intern,"photoshop, branding, graphics",Media,Kolkata,"MBA, PGDM"
82,Finance Intern,"html, css, javascript, react",Content,Hyderabad,Any Graduate
83,Business Analyst Intern,"content, copywriting, research",Media,Hyderabad,"MBA, BBA"
84,Data Science Intern,"illustrator, photoshop, creativity",Marketing,Noida,"BCom, MBA"
85,Data Science Intern,"photoshop, branding, graphics",Design,Noida,"MBA, BBA"
86,Business Analyst Intern,"python, machine learning, statistics",Content,Kolkata,Any Graduate
87,Data Science Intern,"content, copywriting, research",IT/AI,Delhi,"BCom, MBA"
88,Web Dev Intern,"recruitment, onboarding, communication",Software Dev,Delhi,Any Graduate
89,Web Dev Intern,"python, machine learning, statistics",HR,Chennai,"B.Tech, M.Tech"
90,Content Intern,"photoshop, branding, graphics",Software Dev,Jaipur,"MBA, PGDM"
91,Design Intern,"recruitment, onboarding, communication",IT/AI,Kolkata,"B.Tech, BSc IT"
92,Design Intern,"recruitment, onboarding, communication",Content,Jaipur,"BDes, BA"
93,Graphic Intern,"communication, social media, seo",Cloud,Kolkata,"B.Tech, M.Tech"
94,HR Intern,"communication, social media, seo",Finance,Hyderabad,"BCA, B.Tech"
95,Graphic Intern,"aws, devops, linux",HR,Jaipur,"BSc, MSc"
96,Content Intern,"illustrator, photoshop, creativity",Content,Kolkata,"BDes, BA"
97,Graphic Intern,"aws, devops, linux",Media,Chennai,"MBA, PGDM"
98,Cloud Intern,"illustrator, photoshop, creativity",IT/AI,Jaipur,"MBA, BBA"
99,Marketing Intern,"photoshop, branding, graphics",Cloud,Delhi,"BSc, MSc"
100,Content Intern,"aws, devops, linux",Finance,Jaipur,"BCA, B.Tech"
101,Content Intern,"photoshop, branding, graphics",IT/AI,Chennai,"BCA, B.Tech"
102,Data Science Intern,"illustrator, photoshop, creativity",Design,Kolkata,"B.Tech, BSc IT"
103,Business Analyst Intern,"python, machine learning, statistics",Media,Kolkata,"BCA, B.Tech"
104,Business Analyst Intern,"communication, social media, seo",Design,Delhi,"BDes, BA"
105,Cloud Intern,"aws, devops, linux",IT/AI,Pune,"BDes, BA"
106,Web Dev Intern,"photoshop, branding, graphics",IT/AI,Noida,"BSc, MSc"
107,Cloud Intern,"excel, accounting, analytics",Media,Mumbai,"BDes, BA"
108,Finance Intern,"python, machine learning, statistics",HR,Kolkata,"BDes, BA"
109,HR Intern,"html, css, javascript, react",Consulting,Hyderabad,"BCA, B.Tech"
110,Design Intern,"sql, analytics, consulting",Marketing,Noida,Any Graduate
111,Graphic Intern,"python, machine learning, statistics",Finance,Mumbai,"BCom, MBA"
112,Cloud Intern,"aws, devops, linux",Cloud,Bangalore,"B.Tech, M.Tech"
113,Finance Intern,"html, css, javascript, react",Consulting,Ahmedabad,"MBA, BBA"
114,Data Science Intern,"illustrator, photoshop, creativity",Marketing,Kolkata,"BSc, MSc"
115,Design Intern,"photoshop, branding, graphics",Media,Noida,"BSc, MSc"
116,Graphic Intern,"photoshop, branding, graphics",Media,Mumbai,"BA, MA"
117,Finance Intern,"sql, analytics, consulting",Media,Noida,"B.Tech, M.Tech"
118,Cloud Intern,"html, css, javascript, react",Marketing,Hyderabad,"MBA, PGDM"
119,HR Intern,"content, copywriting, research",HR,Bangalore,"B.Tech, M.Tech"
120,Finance Intern,"recruitment, onboarding, communication",Marketing,Pune,"B.Tech, M.Tech"
121,HR Intern,"sql, analytics, consulting",Media,Hyderabad,"BSc, MSc"
122,Design Intern,"excel, accounting, analytics",Finance,Chennai,"MBA, PGDM"
123,Design Intern,"sql, analytics, consulting",Cloud,Noida,"B.Tech, BSc IT"
124,HR Intern,"communication, social media, seo",Media,Bangalore,"BCom, MBA"
125,Finance Intern,"recruitment, onboarding, communication",Software Dev,Jaipur,"BCA, B.Tech"
126,Content Intern,"excel, accounting, analytics",Consulting,Kolkata,Any Graduate
127,Finance Intern,"html, css, javascript, react",Marketing,Kolkata,"MBA, BBA"
128,Cloud Intern,"python, machine learning, statistics",IT/AI,Jaipur,"BSc, MSc"
129,Business Analyst Intern,"illustrator, photoshop, creativity",Finance,Hyderabad,"MBA, PGDM"
130,Design Intern,"html, css, javascript, react",Content,Jaipur,"BCom, MBA"
131,Business Analyst Intern,"recruitment, onboarding, communication",Marketing,Bangalore,"BA, MA"
132,Content Intern,"html, css, javascript, react",Media,Chennai,"B.Tech, BSc IT"
133,Design Intern,"python, machine learning, statistics",Media,Mumbai,"MBA, PGDM"
134,Business Analyst Intern,"html, css, javascript, react",HR,Ahmedabad,"BCA, B.Tech"
135,HR Intern,"illustrator, photoshop, creativity",Cloud,Ahmedabad,"B.Tech, M.Tech"
136,Graphic Intern,"communication, social media, seo",Marketing,Jaipur,"BDes, BA"
137,Finance Intern,"html, css, javascript, react",Marketing,Hyderabad,"BA, MA"
138,HR Intern,"content, copywriting, research",Design,Kolkata,"BSc, MSc"
139,Content Intern,"aws, devops, linux",Design,Noida,"BCA, B.Tech"
140,Marketing Intern,"python, machine learning, statistics",Cloud,Pune,"B.Tech, BSc IT"
141,Content Intern,"photoshop, branding, graphics",Design,Delhi,"BCom, MBA"
142,Cloud Intern,"sql, analytics, consulting",Content,Mumbai,"BCom, MBA"
143,Business Analyst Intern,"html, css, javascript, react",Media,Noida,"BCA, B.Tech"
144,Marketing Intern,"recruitment, onboarding, communication",Consulting,Kolkata,"BCA, B.Tech"
145,Content Intern,"photoshop, branding, graphics",HR,Jaipur,"B.Tech, BSc IT"
146,Data Science Intern,"aws, devops, linux",Consulting,Ahmedabad,"BDes, BA"
147,Cloud Intern,"aws, devops, linux",IT/AI,Bangalore,"MBA, BBA"
148,Finance Intern,"aws, devops, linux",IT/AI,Kolkata,"MBA, PGDM"
149,Data Science Intern,"content, copywriting, research",IT/AI,Noida,"BSc, MSc"
150,Content Intern,"sql, analytics, consulting",Marketing,Bangalore,"BSc, MSc"
151,Finance Intern,"python, machine learning, statistics",Consulting,Bangalore,"BCom, MBA"
152,Data Science Intern,"sql, analytics, consulting",Marketing,Jaipur,"BDes, BA"
153,Business Analyst Intern,"photoshop, branding, graphics",Software Dev,Jaipur,"BDes, BA"
154,Content Intern,"illustrator, photoshop, creativity",IT/AI,Ahmedabad,"MBA, BBA"
155,Data Science Intern,"sql, analytics, consulting",Cloud,Mumbai,"BA, MA"
156,Finance Intern,"excel, accounting, analytics",Consulting,Chennai,"BSc, MSc"
157,Cloud Intern,"communication, social media, seo",Media,Jaipur,"BDes, BA"
158,Business Analyst Intern,"python, machine learning, statistics",Finance,Noida,"BA, MA"
159,Data Science Intern,"excel, accounting, analytics",Finance,Delhi,Any Graduate
160,Web Dev Intern,"sql, analytics, consulting",Design,Kolkata,"BSc, MSc"
161,Graphic Intern,"python, machine learning, statistics",Content,Ahmedabad,"BA, MA"
162,Marketing Intern,"html, css, javascript, react",Media,Kolkata,"B.Tech, M.Tech"
163,Web Dev Intern,"recruitment, onboarding, communication",Media,Noida,"B.Tech, BSc IT"
164,Content Intern,"communication, social media, seo",Finance,Chennai,"BCA, B.Tech"
165,Marketing Intern,"html, css, javascript, react",Cloud,Ahmedabad,"MBA, PGDM"
166,Design Intern,"illustrator, photoshop, creativity",HR,Delhi,Any Graduate
167,Marketing Intern,"content, copywriting, research",Consulting,Mumbai,"B.Tech, M.Tech"
168,HR Intern,"content, copywriting, research",Marketing,Kolkata,"B.Tech, BSc IT"
169,Business Analyst Intern,"recruitment, onboarding, communication",Content,Jaipur,Any Graduate
170,Finance Intern,"content, copywriting, research",IT/AI,Mumbai,"BA, MA"
171,Web Dev Intern,"photoshop, branding, graphics",Marketing,Hyderabad,"BDes, BA"
172,Web Dev Intern,"html, css, javascript, react",Cloud,Ahmedabad,"BCA, B.Tech"
173,Finance Intern,"aws, devops, linux",Software Dev,Bangalore,"B.Tech, M.Tech"
174,Web Dev Intern,"illustrator, photoshop, creativity",Marketing,Mumbai,"B.Tech, M.Tech"
175,Web Dev Intern,"illustrator, photoshop, creativity",Consulting,Mumbai,"BSc, MSc"
176,Design Intern,"python, machine learning, statistics",Marketing,Jaipur,"BCA, B.Tech"
177,HR Intern,"illustrator, photoshop, creativity",IT/AI,Jaipur,"B.Tech, BSc IT"
178,HR Intern,"python, machine learning, statistics",Cloud,Hyderabad,"BA, MA"
179,Cloud Intern,"photoshop, branding, graphics",IT/AI,Hyderabad,"BSc, MSc"
180,Marketing Intern,"html, css, javascript, react",HR,Bangalore,"BCA, B.Tech"
181,Graphic Intern,"excel, accounting, analytics",IT/AI,Pune,"BDes, BA"
182,Cloud Intern,"communication, social media, seo",Marketing,Pune,"MBA, BBA"
183,Content Intern,"photoshop, branding, graphics",Design,Jaipur,"BA, MA"
184,Graphic Intern,"html, css, javascript, react",Marketing,Bangalore,"BCA, B.Tech"
185,Finance Intern,"aws, devops, linux",Media,Bangalore,"BDes, BA"
186,Web Dev Intern,"aws, devops, linux",Content,Delhi,"B.Tech, BSc IT"
187,Graphic Intern,"recruitment, onboarding, communication",HR,Jaipur,"BA, MA"
188,HR Intern,"content, copywriting, research",Marketing,Noida,"BA, MA"
189,HR Intern,"illustrator, photoshop, creativity",Cloud,Kolkata,Any Graduate
190,Design Intern,"content, copywriting, research",Software Dev,Kolkata,"BDes, BA"
191,Web Dev Intern,"html, css, javascript, react",Marketing,Kolkata,"BCom, MBA"
192,Design Intern,"illustrator, photoshop, creativity",Software Dev,Ahmedabad,"B.Tech, BSc IT"
193,Marketing Intern,"recruitment, onboarding, communication",Content,Hyderabad,"BCA, B.Tech"
194,Web Dev Intern,"photoshop, branding, graphics",IT/AI,Pune,"BCA, B.Tech"
195,HR Intern,"illustrator, photoshop, creativity",Content,Chennai,Any Graduate
196,Design Intern,"python, machine learning, statistics",Finance,Delhi,"BDes, BA"
197,Data Science Intern,"excel, accounting, analytics",Cloud,Kolkata,"B.Tech, M.Tech"
198,Finance Intern,"excel, accounting, analytics",Content,Ahmedabad,"B.Tech, M.Tech"
199,Data Science Intern,"illustrator, photoshop, creativity",Cloud,Kolkata,"BCom, MBA"
200,Graphic Intern,"illustrator, photoshop, creativity",Design,Ahmedabad,"B.Tech, BSc IT"
201,Data Science Intern,"content, copywriting, research",Media,Delhi,"MBA, PGDM"
202,HR Intern,"aws, devops, linux",Consulting,Ahmedabad,"BA, MA"
203,HR Intern,"aws, devops, linux",Content,Bangalore,"BCom, MBA"
204,Graphic Intern,"sql, analytics, consulting",Software Dev,Chennai,"B.Tech, BSc IT"
205,Cloud Intern,"excel, accounting, analytics",Media,Delhi,"B.Tech, BSc IT"
206,Business Analyst Intern,"aws, devops, linux",Media,Hyderabad,"B.Tech, BSc IT"
207,Design Intern,"communication, social media, seo",IT/AI,Bangalore,"B.Tech, BSc IT"
208,Graphic Intern,"python, machine learning, statistics",Media,Bangalore,"BCom, MBA"
209,HR Intern,"sql, analytics, consulting",Content,Chennai,"BCA, B.Tech"
210,Graphic Intern,"recruitment, onboarding, communication",Consulting,Delhi,"B.Tech, BSc IT"
211,HR Intern,"content, copywriting, research",Design,Chennai,"MBA, BBA"
212,Graphic Intern,"sql, analytics, consulting",Consulting,Hyderabad,Any Graduate
213,Business Analyst Intern,"content, copywriting, research",Design,Hyderabad,Any Graduate
214,Cloud Intern,"content, copywriting, research",Design,Delhi,"MBA, PGDM"
215,Marketing Intern,"recruitment, onboarding, communication",Software Dev,Bangalore,"MBA, BBA"
216,Marketing Intern,"excel, accounting, analytics",Consulting,Jaipur,"MBA, BBA"
217,Content Intern,"aws, devops, linux",Software Dev,Ahmedabad,"BA, MA"
218,Cloud Intern,"illustrator, photoshop, creativity",Design,Delhi,"MBA, BBA"
219,Cloud Intern,"content, copywriting, research",Consulting,Mumbai,"BSc, MSc"
220,Data Science Intern,"photoshop, branding, graphics",Finance,Mumbai,"BA, MA"
221,Business Analyst Intern,"illustrator, photoshop, creativity",Media,Delhi,"BA, MA"
222,HR Intern,"sql, analytics, consulting",Content,Hyderabad,"MBA, PGDM"
223,Graphic Intern,"photoshop, branding, graphics",IT/AI,Pune,"B.Tech, M.Tech"
224,Graphic Intern,"communication, social media, seo",Marketing,Kolkata,"B.Tech, BSc IT"
225,Data Science Intern,"sql, analytics, consulting",Software Dev,Pune,"BCA, B.Tech"
226,Graphic Intern,"python, machine learning, statistics",Cloud,Pune,"BCom, MBA"
227,Content Intern,"aws, devops, linux",Cloud,Pune,"B.Tech, M.Tech"
228,Cloud Intern,"sql, analytics, consulting",IT/AI,Delhi,"BDes, BA"
229,Finance Intern,"communication, social media, seo",HR,Mumbai,"BSc, MSc"
230,HR Intern,"communication, social media, seo",Software Dev,Ahmedabad,Any Graduate
231,Marketing Intern,"sql, analytics, consulting",Design,Chennai,"BCom, MBA"
232,Design Intern,"html, css, javascript, react",Finance,Pune,"MBA, BBA"
233,Content Intern,"photoshop, branding, graphics",IT/AI,Bangalore,"BDes, BA"
234,Business Analyst Intern,"python, machine learning, statistics",Cloud,Mumbai,"B.Tech, BSc IT"
235,Marketing Intern,"recruitment, onboarding, communication",Design,Mumbai,"MBA, PGDM"
236,Graphic Intern,"html, css, javascript, react",IT/AI,Kolkata,"BCA, B.Tech"
237,Marketing Intern,"photoshop, branding, graphics",Consulting,Pune,"B.Tech, BSc IT"
238,Web Dev Intern,"excel, accounting, analytics",Design,Chennai,"BSc, MSc"
239,Graphic Intern,"excel, accounting, analytics",Software Dev,Kolkata,"BSc, MSc"
240,Cloud Intern,"sql, analytics, consulting",Finance,Noida,"MBA, PGDM"
241,Graphic Intern,"aws, devops, linux",Media,Delhi,"B.Tech, M.Tech"
242,Web Dev Intern,"photoshop, branding, graphics",Design,Ahmedabad,"MBA, BBA"
243,Marketing Intern,"recruitment, onboarding, communication",Consulting,Noida,"MBA, BBA"
244,Graphic Intern,"photoshop, branding, graphics",Finance,Jaipur,"BCA, B.Tech"
245,Graphic Intern,"photoshop, branding, graphics",HR,Pune,"BDes, BA"
246,Data Science Intern,"photoshop, branding, graphics",Consulting,Pune,"BSc, MSc"
247,HR Intern,"illustrator, photoshop, creativity",Finance,Delhi,"MBA, BBA"
248,Data Science Intern,"aws, devops, linux",Cloud,Kolkata,"BSc, MSc"
249,Marketing Intern,"sql, analytics, consulting",Design,Chennai,"B.Tech, BSc IT"
250,Content Intern,"photoshop, branding, graphics",Marketing,Bangalore,"MBA, BBA"
251,Cloud Intern,"recruitment, onboarding, communication",Media,Noida,"BCom, MBA"
252,Data Science Intern,"illustrator, photoshop, creativity",Software Dev,Jaipur,"BCom, MBA"
253,Cloud Intern,"excel, accounting, analytics",Design,Jaipur,"MBA, BBA"
254,Cloud Intern,"excel, accounting, analytics",Media,Bangalore,"MBA, BBA"
255,Data Science Intern,"photoshop, branding, graphics",IT/AI,Ahmedabad,"BCom, MBA"
256,Design Intern,"content, copywriting, research",Finance,Kolkata,"B.Tech, BSc IT"
257,Data Science Intern,"excel, accounting, analytics",Consulting,Hyderabad,"BA, MA"
258,Web Dev Intern,"html, css, javascript, react",HR,Mumbai,"BA, MA"
259,HR Intern,"excel, accounting, analytics",IT/AI,Hyderabad,"BA, MA"
260,Content Intern,"illustrator, photoshop, creativity",HR,Hyderabad,"BA, MA"
261,Business Analyst Intern,"aws, devops, linux",Consulting,Bangalore,"BA, MA"
262,Cloud Intern,"python, machine learning, statistics",Cloud,Kolkata,"BCom, MBA"
263,Content Intern,"aws, devops, linux",Consulting,Noida,"BCom, MBA"
264,Graphic Intern,"photoshop, branding, graphics",Media,Pune,"BCom, MBA"
265,Data Science Intern,"excel, accounting, analytics",HR,Mumbai,"BCom, MBA"
266,HR Intern,"recruitment, onboarding, communication",Design,Hyderabad,"B.Tech, M.Tech"
267,Data Science Intern,"python, machine learning, statistics",Marketing,Ahmedabad,"MBA, BBA"
268,Graphic Intern,"illustrator, photoshop, creativity",Marketing,Chennai,"BCA, B.Tech"
269,Marketing Intern,"photoshop, branding, graphics",Cloud,Noida,"BCA, B.Tech"
270,Marketing Intern,"html, css, javascript, react",HR,Pune,"MBA, BBA"
271,Finance Intern,"communication, social media, seo",Media,Chennai,Any Graduate
272,Finance Intern,"illustrator, photoshop, creativity",HR,Jaipur,"BA, MA"
273,Cloud Intern,"illustrator, photoshop, creativity",Cloud,Jaipur,"BCA, B.Tech"
274,Web Dev Intern,"illustrator, photoshop, creativity",Content,Chennai,Any Graduate
275,Finance Intern,"recruitment, onboarding, communication",Media,Delhi,"BSc, MSc"
276,Cloud Intern,"communication, social media, seo",Media,Delhi,"B.Tech, M.Tech"
277,Marketing Intern,"aws, devops, linux",Design,Hyderabad,"B.Tech, BSc IT"
278,Marketing Intern,"excel, accounting, analytics",Software Dev,Pune,"BCom, MBA"
279,Business Analyst Intern,"python, machine learning, statistics",Design,Pune,"BCom, MBA"
280,Finance Intern,"recruitment, onboarding, communication",Cloud,Jaipur,Any Graduate
281,Web Dev Intern,"illustrator, photoshop, creativity",Finance,Mumbai,"BDes, BA"
282,Web Dev Intern,"content, copywriting, research",Consulting,Pune,"B.Tech, BSc IT"
283,Design Intern,"content, copywriting, research",HR,Pune,"MBA, BBA"
284,Graphic Intern,"content, copywriting, research",Content,Delhi,"BDes, BA"
285,Design Intern,"html, css, javascript, react",Design,Kolkata,"MBA, BBA"
286,Cloud Intern,"aws, devops, linux",Content,Noida,"BA, MA"
287,Graphic Intern,"excel, accounting, analytics",Design,Hyderabad,"BA, MA"
288,Content Intern,"illustrator, photoshop, creativity",Consulting,Ahmedabad,"MBA, PGDM"
289,Design Intern,"content, copywriting, research",IT/AI,Delhi,"MBA, BBA"
290,Business Analyst Intern,"aws, devops, linux",Marketing,Chennai,"BCom, MBA"
291,Finance Intern,"recruitment, onboarding, communication",Consulting,Ahmedabad,"BDes, BA"
292,HR Intern,"photoshop, branding, graphics",Cloud,Bangalore,"B.Tech, M.Tech"
293,Data Science Intern,"aws, devops, linux",Cloud,Kolkata,"MBA, BBA"
294,Graphic Intern,"illustrator, photoshop, creativity",Media,Noida,"B.Tech, M.Tech"
295,Data Science Intern,"excel, accounting, analytics",Content,Chennai,"BCom, MBA"
296,Business Analyst Intern,"excel, accounting, analytics",Marketing,Delhi,"MBA, BBA"
297,Data Science Intern,"sql, analytics, consulting",Media,Chennai,"B.Tech, M.Tech"
298,Finance Intern,"illustrator, photoshop, creativity",HR,Delhi,"B.Tech, BSc IT"
299,Marketing Intern,"aws, devops, linux",Design,Bangalore,"MBA, BBA"
300,Business Analyst Intern,"recruitment, onboarding, communication",Design,Bangalore,"BSc, MSc"
301,Data Science Intern,"python, machine learning, statistics",Finance,Bangalore,"B.Tech, BSc IT"
302,Content Intern,"illustrator, photoshop, creativity",Design,Noida,"BCA, B.Tech"
303,Business Analyst Intern,"excel, accounting, analytics",IT/AI,Delhi,"BA, MA"
304,Finance Intern,"html, css, javascript, react",HR,Jaipur,"BA, MA"
305,HR Intern,"content, copywriting, research",Software Dev,Ahmedabad,"B.Tech, M.Tech"
306,Graphic Intern,"photoshop, branding, graphics",Consulting,Mumbai,"B.Tech, M.Tech"
307,Design Intern,"recruitment, onboarding, communication",Software Dev,Noida,"B.Tech, M.Tech"
308,Data Science Intern,"sql, analytics, consulting",Cloud,Kolkata,"MBA, BBA"
309,Web Dev Intern,"excel, accounting, analytics",Finance,Ahmedabad,"MBA, PGDM"
310,Content Intern,"html, css, javascript, react",Software Dev,Delhi,"BCA, B.Tech"
311,Data Science Intern,"html, css, javascript, react",Content,Jaipur,"B.Tech, BSc IT"
312,HR Intern,"photoshop, branding, graphics",Cloud,Jaipur,"B.Tech, BSc IT"
313,Content Intern,"sql, analytics, consulting",Cloud,Kolkata,"BA, MA"
314,Web Dev Intern,"photoshop, branding, graphics",Content,Noida,"MBA, PGDM"
315,HR Intern,"content, copywriting, research",Consulting,Delhi,"MBA, PGDM"
316,Design Intern,"communication, social media, seo",HR,Kolkata,"BCom, MBA"
317,Content Intern,"sql, analytics, consulting",IT/AI,Pune,"BSc, MSc"
318,Design Intern,"html, css, javascript, react",IT/AI,Noida,"B.Tech, M.Tech"
319,Finance Intern,"content, copywriting, research",Software Dev,Kolkata,"BA, MA"
320,Business Analyst Intern,"photoshop, branding, graphics",Consulting,Pune,"MBA, BBA"
321,HR Intern,"python, machine learning, statistics",IT/AI,Bangalore,"BDes, BA"
322,Content Intern,"python, machine learning, statistics",Content,Bangalore,Any Graduate
323,Business Analyst Intern,"html, css, javascript, react",Finance,Mumbai,"BSc, MSc"
324,HR Intern,"recruitment, onboarding, communication",Finance,Kolkata,"MBA, PGDM"
325,Finance Intern,"recruitment, onboarding, communication",Software Dev,Jaipur,"BCom, MBA"
326,Finance Intern,"sql, analytics, consulting",Marketing,Noida,"BSc, MSc"
327,Content Intern,"sql, analytics, consulting",Content,Mumbai,"B.Tech, M.Tech"
328,HR Intern,"html, css, javascript, react",Cloud,Kolkata,"BDes, BA"
329,Graphic Intern,"excel, accounting, analytics",Content,Kolkata,"BDes, BA"
330,HR Intern,"html, css, javascript, react",Software Dev,Hyderabad,"BSc, MSc"
